node,community
2316,0
2317,0
2318,0
2320,0
2321,0
2322,0
2323,0
2324,0
2326,0
2329,0
2331,0
2334,0
2335,0
2339,0
2340,0
2341,0
2342,0
2345,0
2346,0
2348,0
2349,0
2350,0
2352,0
2353,0
2354,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2365,0
2366,0
2367,0
2369,0
2370,0
2379,0
2380,0
2381,0
2382,0
2383,0
2386,0
2387,0
2388,0
2390,0
2391,0
2392,0
2393,0
2395,0
2396,0
2397,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2414,0
2415,0
2416,0
2418,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2446,0
2448,0
2449,0
2450,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2460,0
2462,0
2464,0
2466,0
2467,0
2469,0
2470,0
2473,0
2474,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2492,0
2493,0
2495,0
2497,0
2499,0
2500,0
2503,0
2504,0
2505,0
2506,0
2507,0
2513,0
2514,0
2515,0
2517,0
2518,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2531,0
2532,0
2534,0
2535,0
2536,0
2537,0
2539,0
2540,0
2541,0
2545,0
2546,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2568,0
2569,0
2570,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2584,0
2585,0
2586,0
2587,0
2590,0
2591,0
2593,0
2595,0
2596,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2606,0
2607,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2630,0
2631,0
2632,0
2633,0
2634,0
2637,0
2638,0
2639,0
2641,0
2644,0
2645,0
2646,0
2648,0
2650,0
2651,0
2652,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
1085,0
3438,0
3439,0
3441,0
3442,0
3443,0
3444,0
3445,0
3446,0
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,0
3455,0
3457,0
3458,0
3459,0
3460,0
3461,0
3462,0
3463,0
3464,0
3465,0
3466,0
3467,0
3468,0
3469,0
3470,0
3471,0
3472,0
3473,0
3474,0
3475,0
3476,0
3477,0
3478,0
3479,0
3480,0
3481,0
3482,0
3483,0
3484,0
3485,0
3486,0
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0
3494,0
3496,0
3497,0
3498,0
3499,0
3500,0
3502,0
3503,0
3504,0
3505,0
3506,0
3507,0
3508,0
3509,0
3510,0
3511,0
3512,0
3513,0
3514,0
3515,0
3516,0
3518,0
3519,0
3520,0
3521,0
3522,0
3523,0
3524,0
3526,0
3527,0
3528,0
3529,0
3530,0
3531,0
3532,0
3533,0
3534,0
3535,0
3536,0
3537,0
3538,0
3539,0
3541,0
3542,0
3543,0
3544,0
3545,0
3546,0
3547,0
3548,0
3549,0
3551,0
3552,0
3553,0
3554,0
3555,0
3557,0
3558,0
3559,0
3560,0
3562,0
3563,0
3564,0
3565,0
3566,0
3567,0
3568,0
3569,0
3570,0
3571,0
3572,0
3573,0
3574,0
3575,0
3576,0
3578,0
3579,0
3580,0
3581,0
3582,0
3583,0
3584,0
3585,0
3587,0
3588,0
3589,0
3590,0
3591,0
3593,0
3594,0
3595,0
3596,0
3597,0
3598,0
3599,0
3600,0
3601,0
3602,0
3603,0
3604,0
3605,0
3606,0
3607,0
3608,0
3610,0
3611,0
3612,0
3613,0
3614,0
3615,0
3616,0
3617,0
3618,0
3619,0
3620,0
3622,0
3623,0
3624,0
3625,0
3627,0
3628,0
3629,0
3630,0
3631,0
3632,0
3634,0
3635,0
3636,0
3637,0
3638,0
3639,0
3640,0
3641,0
3642,0
3643,0
3644,0
3645,0
3646,0
3647,0
3648,0
3649,0
3650,0
3652,0
3653,0
3654,0
3655,0
3656,0
3657,0
3658,0
3659,0
3660,0
3661,0
3662,0
3663,0
3664,0
3665,0
3666,0
3667,0
3668,0
3669,0
3670,0
3671,0
3672,0
3673,0
3675,0
3676,0
3678,0
3679,0
3680,0
3681,0
3682,0
3683,0
3685,0
3686,0
3687,0
3688,0
3689,0
3690,0
3691,0
3693,0
3694,0
3695,0
3696,0
3697,0
3698,0
3699,0
3700,0
3701,0
3702,0
3703,0
3704,0
3705,0
3706,0
3707,0
3708,0
3709,0
3710,0
3711,0
3712,0
3713,0
3714,0
3715,0
3716,0
3717,0
3718,0
3719,0
3720,0
3722,0
3724,0
3725,0
3726,0
3727,0
3728,0
3729,0
3730,0
3731,0
3732,0
3733,0
3734,0
3735,0
3736,0
3737,0
3738,0
3739,0
3740,0
3742,0
3743,0
3744,0
3745,0
3746,0
3747,0
3748,0
3749,0
3751,0
3752,0
3753,0
3754,0
3755,0
3757,0
3758,0
3759,0
3760,0
3761,0
4007,0
4010,0
2052,1
2053,1
2851,1
2853,1
2854,1
2855,1
2856,1
2857,1
2101,1
2863,1
2864,1
2125,1
2865,1
2132,1
2137,1
2867,1
2868,1
2144,1
2149,1
2151,1
2870,1
2871,1
2169,1
2176,1
2875,1
2877,1
2879,1
2880,1
2881,1
2239,1
2241,1
2890,1
2266,1
2273,1
2894,1
2282,1
2285,1
2897,1
2898,1
2294,1
2298,1
2899,1
2328,1
2332,1
2333,1
2906,1
2338,1
2343,1
2344,1
2347,1
2909,1
2355,1
2368,1
2372,1
2914,1
2394,1
2399,1
2919,1
2920,1
2413,1
2419,1
2420,1
2924,1
2925,1
2929,1
2931,1
2465,1
2468,1
2933,1
2496,1
2509,1
2516,1
2519,1
2530,1
2542,1
2544,1
2567,1
2588,1
2592,1
2594,1
2597,1
2605,1
2608,1
2609,1
2642,1
2661,1
2663,1
2665,1
2666,1
2669,1
2671,1
2672,1
2673,1
2674,1
2675,1
2677,1
2679,1
2680,1
2681,1
2683,1
2684,1
2685,1
2686,1
2687,1
2689,1
2690,1
2692,1
2693,1
2695,1
2696,1
2697,1
2699,1
2700,1
2701,1
2702,1
2703,1
2707,1
2708,1
2709,1
2710,1
2711,1
2713,1
2715,1
2717,1
2718,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2729,1
