node,community
3,0
4,0
5,0
518,0
7,0
517,0
10,0
11,0
12,0
525,0
14,0
526,0
529,0
20,0
23,0
24,0
536,0
29,0
543,0
545,0
34,0
35,0
548,0
547,0
33,0
40,0
41,0
557,0
48,0
56,0
58,0
60,0
63,0
65,0
67,0
581,0
69,0
582,0
588,0
595,0
87,0
90,0
603,0
608,0
100,0
104,0
619,0
115,0
117,0
119,0
124,0
131,0
135,0
145,0
146,0
151,0
163,0
169,0
179,0
185,0
189,0
190,0
191,0
194,0
195,0
205,0
212,0
224,0
226,0
227,0
228,0
234,0
235,0
237,0
238,0
242,0
245,0
248,0
249,0
250,0
254,0
257,0
259,0
264,0
266,0
270,0
273,0
274,0
285,0
287,0
291,0
293,0
305,0
323,0
325,0
327,0
329,0
336,0
339,0
342,0
349,0
357,0
372,0
377,0
384,0
385,0
388,0
394,0
403,0
404,0
408,0
410,0
412,0
414,0
416,0
418,0
421,0
429,0
444,0
445,0
446,0
450,0
469,0
473,0
478,0
484,0
486,0
491,0
495,0
498,0
501,0
503,0
508,0
516,1
6,1
15,1
16,1
17,1
18,1
527,1
19,1
21,1
22,1
26,1
27,1
28,1
30,1
31,1
552,1
553,1
43,1
558,1
49,1
561,1
565,1
570,1
573,1
579,1
70,1
72,1
585,1
586,1
593,1
599,1
89,1
610,1
613,1
618,1
107,1
123,1
125,1
126,1
128,1
143,1
147,1
157,1
160,1
166,1
167,1
170,1
173,1
174,1
181,1
187,1
192,1
197,1
203,1
204,1
208,1
229,1
230,1
241,1
258,1
277,1
289,1
303,1
308,1
310,1
311,1
318,1
324,1
326,1
340,1
343,1
347,1
352,1
353,1
355,1
363,1
373,1
374,1
380,1
381,1
387,1
399,1
400,1
419,1
420,1
423,1
424,1
435,1
436,1
441,1
454,1
462,1
465,1
481,1
505,1
512,2
520,2
137,2
397,2
275,2
406,2
282,2
538,2
154,2
158,2
544,2
417,2
161,2
162,2
39,2
168,2
42,2
171,2
44,2
301,2
46,2
47,2
176,2
50,2
562,2
180,2
52,2
53,2
55,2
437,2
443,2
188,2
62,2
321,2
577,2
578,2
196,2
452,2
68,2
71,2
330,2
331,2
202,2
459,2
78,2
209,2
594,2
467,2
83,2
210,2
86,2
214,2
470,2
475,2
604,2
225,2
483,2
102,2
360,2
109,2
110,2
494,2
240,2
496,2
113,2
243,2
500,2
121,2
122,2
252,2
253,2
382,2
513,3
261,3
133,3
390,3
393,3
138,3
13,3
528,3
531,3
407,3
409,3
290,3
292,3
297,3
298,3
302,3
175,3
307,3
563,3
571,3
575,3
448,3
576,3
451,3
456,3
458,3
587,3
77,3
207,3
80,3
81,3
82,3
592,3
84,3
85,3
598,3
215,3
600,3
219,3
477,3
612,3
485,3
251,3
118,3
379,3
510,3
511,3
392,4
136,4
139,4
141,4
148,4
537,4
411,4
36,4
37,4
38,4
295,4
431,4
439,4
57,4
59,4
61,4
66,4
580,4
198,4
457,4
333,4
338,4
344,4
601,4
88,4
474,4
350,4
606,4
97,4
609,4
615,4
616,4
617,4
490,4
489,4
487,4
244,4
514,5
395,5
149,5
155,5
539,5
541,5
415,5
164,5
165,5
177,5
178,5
309,5
54,5
569,5
572,5
75,5
460,5
79,5
335,5
337,5
466,5
463,5
596,5
468,5
472,5
476,5
221,5
356,5
368,5
502,5
246,5
127,5
519,6
263,6
271,6
401,6
402,6
405,6
534,6
284,6
426,6
560,6
566,6
312,6
316,6
322,6
199,6
74,6
589,6
334,6
213,6
341,6
471,6
216,6
218,6
346,6
605,6
607,6
99,6
236,6
365,6
247,6
506,6
255,6
256,7
389,7
134,7
521,7
522,7
535,7
152,7
427,7
559,7
433,7
184,7
319,7
320,7
200,7
201,7
597,7
348,7
220,7
222,7
480,7
358,7
232,7
105,7
106,7
362,7
366,7
111,7
112,7
114,7
120,7
383,7
0,8
1,8
2,8
132,8
391,8
8,8
265,8
9,8
398,8
530,8
276,8
278,8
540,8
288,8
425,8
554,8
555,8
434,8
182,8
583,8
76,8
206,8
345,8
98,8
611,8
231,8
233,8
367,8
369,8
140,9
144,9
150,9
279,9
280,9
281,9
156,9
422,9
172,9
304,9
51,9
564,9
438,9
568,9
314,9
574,9
64,9
455,9
332,9
461,9
602,9
354,9
239,9
262,10
396,10
25,10
542,10
549,10
432,10
306,10
440,10
442,10
317,10
453,10
328,10
73,10
591,10
361,10
370,10
499,10
376,10
507,10
509,10
515,11
524,11
269,11
142,11
532,11
159,11
32,11
546,11
300,11
45,11
430,11
183,11
313,11
315,11
449,11
193,11
101,11
488,11
364,11
504,11
129,12
130,12
153,12
223,12
260,12
550,12
359,12
351,12
584,12
493,12
590,12
116,12
533,12
375,12
217,12
283,12
479,12
96,13
614,13
103,13
551,13
523,13
492,13
108,13
378,13
211,13
567,13
94,13
186,13
91,13
92,13
93,13
413,13
95,13
482,14
296,14
267,14
268,14
272,14
497,14
294,15
299,15
464,15
286,15
447,15
371,16
556,16
386,17
428,17
