node,community
1538,0
517,0
1031,0
1032,0
526,0
527,0
528,0
2066,0
1048,0
25,0
31,0
33,0
545,0
35,0
546,0
37,0
1569,0
1063,0
552,0
1577,0
1578,0
555,0
556,0
554,0
1064,0
1065,0
1066,0
1067,0
1068,0
563,0
564,0
565,0
566,0
567,0
2104,0
569,0
570,0
571,0
1595,0
1596,0
1597,0
1598,0
2106,0
577,0
578,0
1086,0
1605,0
2119,0
589,0
592,0
599,0
600,0
89,0
2136,0
1116,0
1117,0
1120,0
612,0
613,0
2149,0
614,0
618,0
623,0
626,0
627,0
629,0
630,0
631,0
120,0
632,0
2169,0
635,0
1143,0
1148,0
2174,0
639,0
128,0
1665,0
1666,0
1667,0
1156,0
647,0
137,0
140,0
141,0
654,0
652,0
1170,0
1171,0
660,0
1172,0
662,0
2206,0
2207,0
673,0
164,0
676,0
677,0
678,0
2212,0
681,0
170,0
2219,0
171,0
1710,0
687,0
2224,0
175,0
2227,0
180,0
694,0
2231,0
2232,0
697,0
1722,0
187,0
2233,0
2234,0
695,0
189,0
191,0
195,0
2246,0
1739,0
1740,0
1741,0
2252,0
718,0
722,0
212,0
213,0
726,0
1751,0
727,0
728,0
729,0
730,0
215,0
220,0
222,0
223,0
1758,0
2277,0
230,0
2279,0
744,0
233,0
2282,0
2284,0
2285,0
750,0
239,0
2287,0
2288,0
1778,0
246,0
1784,0
761,0
2299,0
764,0
765,0
766,0
255,0
256,0
2306,0
259,0
260,0
772,0
775,0
266,0
778,0
2316,0
782,0
786,0
788,0
789,0
276,0
279,0
280,0
1814,0
282,0
283,0
284,0
797,0
286,0
794,0
795,0
1822,0
801,0
2335,0
804,0
1824,0
1825,0
1826,0
808,0
297,0
298,0
2345,0
812,0
2351,0
304,0
308,0
822,0
1848,0
313,0
315,0
829,0
321,0
322,0
834,0
324,0
325,0
838,0
330,0
852,0
854,0
343,0
1880,0
857,0
1881,0
1882,0
1883,0
861,0
1886,0
1884,0
1885,0
1890,0
2402,0
2406,0
2407,0
1390,0
1391,0
2415,0
371,0
888,0
380,0
1917,0
893,0
1919,0
1408,0
896,0
898,0
899,0
900,0
1414,0
904,0
394,0
395,0
1931,0
1074,0
402,0
914,0
405,0
415,0
416,0
