node,community
4,0
2053,0
8,0
2059,0
2060,0
14,0
2063,0
15,0
2069,0
2072,0
2075,0
2085,0
39,0
2097,0
52,0
65,0
2116,0
70,0
73,0
2124,0
2128,0
2138,0
2140,0
2144,0
2151,0
108,0
110,0
2161,0
2171,0
125,0
129,0
2186,0
2190,0
2199,0
2207,0
2208,0
160,0
161,0
164,0
169,0
170,0
173,0
2236,0
2240,0
193,0
201,0
2251,0
215,0
2269,0
2280,0
2287,0
241,0
253,0
259,0
2309,0
2311,0
2313,0
2318,0
274,0
276,0
2327,0
293,0
2343,0
2370,0
2376,0
2381,0
335,0
336,0
347,0
356,0
2405,0
358,0
2412,0
378,0
379,0
384,0
2436,0
391,0
2440,0
2439,0
2443,0
398,0
399,0
400,0
408,0
2462,0
432,0
2493,0
2494,0
2495,0
2502,0
2503,0
2505,0
459,0
462,0
465,0
2516,0
472,0
480,0
481,0
489,0
2540,0
496,0
500,0
2548,0
503,0
507,0
2562,0
2565,0
2571,0
535,0
2586,0
2591,0
550,0
2603,0
560,0
562,0
566,0
2616,0
568,0
2638,0
2643,0
2645,0
598,0
2647,0
599,0
607,0
2656,0
2655,0
619,0
630,0
2678,0
2683,0
639,0
642,0
643,0
647,0
2696,0
2703,0
661,0
662,0
679,0
2732,0
2733,0
686,0
2736,0
692,0
2740,0
696,0
2748,0
701,0
2750,0
703,0
704,0
2757,0
712,0
719,0
2768,0
722,0
2770,0
736,0
2797,0
2808,0
2809,0
2811,0
2813,0
2816,0
2825,0
2837,0
792,0
2844,0
806,0
2858,0
2866,0
2867,0
827,0
2876,0
2878,0
2879,0
2883,0
836,0
2889,0
872,0
2924,0
2929,0
882,0
894,0
911,0
914,0
915,0
2964,0
2963,0
920,0
933,0
2990,0
2992,0
945,0
946,0
3007,0
967,0
973,0
3022,0
976,0
3027,0
3029,0
3032,0
988,0
3038,0
994,0
1004,0
3052,0
1007,0
3057,0
1019,0
1022,0
3075,0
1034,0
3086,0
1040,0
3094,0
3097,0
3104,0
3109,0
1065,0
3114,0
3115,0
1068,0
1071,0
3119,0
1082,0
3132,0
1084,0
3142,0
1098,0
3150,0
1103,0
3158,0
3165,0
1118,0
3168,0
1122,0
1124,0
3173,0
1126,0
3176,0
3178,0
3179,0
1131,0
3182,0
1138,0
1143,0
1150,0
1151,0
1155,0
3205,0
1158,0
3209,0
1165,0
1170,0
3227,0
3233,0
1194,0
1196,0
3252,0
1207,0
1212,0
3267,0
3272,0
1228,0
3277,0
1232,0
3286,0
3289,0
1244,0
1245,0
3295,0
1249,0
1250,0
3299,0
3303,0
1256,0
3310,0
3314,0
1272,0
1276,0
1279,0
1285,0
1287,0
1294,0
1303,0
1304,0
1307,0
3356,0
1322,0
3370,0
3386,0
3393,0
1348,0
1349,0
3404,0
1359,0
1360,0
3408,0
3411,0
3421,0
1384,0
1385,0
3434,0
3436,0
3444,0
1396,0
1398,0
3446,0
3452,0
3458,0
3460,0
1412,0
3464,0
1419,0
3472,0
1432,0
1441,0
1451,0
1457,0
3512,0
1465,0
1464,0
1471,0
3528,0
1485,0
3536,0
1493,0
3548,0
1502,0
1503,0
1505,0
3560,0
1516,0
1521,0
1524,0
1525,0
3579,0
3588,0
3590,0
1545,0
3595,0
3603,0
3605,0
3616,0
1569,0
1573,0
3628,0
3630,0
1583,0
1586,0
1590,0
1595,0
3646,0
1604,0
1607,0
3669,0
3686,0
3693,0
3694,0
3695,0
1649,0
3717,0
3727,0
1685,0
3737,0
3739,0
3742,0
1698,0
1699,0
1702,0
3750,0
3766,0
3767,0
1723,0
1729,0
1731,0
1734,0
3782,0
1736,0
3788,0
1744,0
1748,0
3799,0
3802,0
3807,0
1759,0
1761,0
1763,0
3814,0
3830,0
3841,0
3843,0
1798,0
1807,0
1814,0
1815,0
1823,0
3873,0
3875,0
1828,0
3877,0
1843,0
1846,0
1858,0
3906,0
3909,0
3914,0
3917,0
3934,0
3944,0
1901,0
1903,0
1904,0
3954,0
3960,0
1915,0
3965,0
1923,0
3978,0
1936,0
1939,0
4005,0
4006,0
1962,0
4016,0
1969,0
1973,0
1990,0
1997,0
4062,0
2021,0
2030,0
4081,0
4083,0
4084,0
2046,0
0,1
2,1
2055,1
2056,1
2057,1
2070,1
24,1
2076,1
2080,1
40,1
45,1
50,1
51,1
57,1
58,1
59,1
2109,1
72,1
74,1
76,1
2132,1
2139,1
98,1
107,1
2155,1
111,1
113,1
123,1
127,1
2176,1
130,1
2183,1
2185,1
142,1
151,1
2205,1
172,1
2228,1
2238,1
192,1
2241,1
2242,1
2250,1
203,1
224,1
2282,1
238,1
243,1
244,1
2295,1
2296,1
254,1
257,1
2306,1
279,1
282,1
283,1
284,1
288,1
292,1
2342,1
299,1
2348,1
2368,1
322,1
2374,1
328,1
2377,1
2395,1
2400,1
353,1
352,1
355,1
359,1
2415,1
369,1
373,1
2428,1
380,1
2431,1
2435,1
2437,1
397,1
2448,1
2450,1
2464,1
419,1
2468,1
422,1
423,1
2472,1
2480,1
2481,1
2485,1
2486,1
442,1
2490,1
2492,1
2499,1
2500,1
2510,1
2520,1
474,1
475,1
478,1
2527,1
488,1
490,1
2539,1
493,1
2543,1
2545,1
2547,1
508,1
2556,1
2558,1
2559,1
2561,1
514,1
2570,1
527,1
2581,1
2585,1
538,1
2590,1
2594,1
546,1
2597,1
2602,1
556,1
567,1
2619,1
2620,1
2623,1
577,1
2628,1
2631,1
591,1
2639,1
2648,1
603,1
2651,1
606,1
2657,1
2663,1
2664,1
2666,1
2669,1
632,1
633,1
2688,1
2691,1
2692,1
2693,1
648,1
651,1
2706,1
659,1
671,1
672,1
673,1
2724,1
2729,1
689,1
690,1
691,1
2741,1
2742,1
708,1
2758,1
2763,1
716,1
2769,1
723,1
2772,1
730,1
2783,1
2807,1
762,1
2814,1
768,1
776,1
783,1
789,1
791,1
2841,1
2845,1
2847,1
800,1
804,1
2859,1
2861,1
2862,1
816,1
823,1
2873,1
2874,1
2884,1
2885,1
845,1
851,1
852,1
2901,1
854,1
858,1
2917,1
870,1
2919,1
880,1
884,1
2933,1
885,1
887,1
2941,1
2943,1
2948,1
902,1
903,1
2954,1
921,1
930,1
2981,1
943,1
2993,1
3001,1
953,1
3003,1
3009,1
965,1
3018,1
3019,1
977,1
3026,1
3034,1
3046,1
1008,1
1012,1
3061,1
3060,1
1015,1
1023,1
1024,1
3078,1
3085,1
3087,1
3088,1
1041,1
1048,1
1053,1
1055,1
1058,1
3112,1
3117,1
1077,1
3125,1
3128,1
1085,1
3135,1
3156,1
3164,1
3170,1
3180,1
1132,1
3185,1
3190,1
3197,1
3200,1
1157,1
1162,1
1163,1
3216,1
1172,1
3221,1
3231,1
1189,1
1205,1
1206,1
1216,1
3271,1
3276,1
1240,1
1251,1
1257,1
1267,1
1270,1
3322,1
3326,1
1290,1
3342,1
3343,1
3344,1
1297,1
1299,1
3360,1
1316,1
1318,1
3368,1
3373,1
1327,1
3380,1
1334,1
1342,1
3392,1
3394,1
3400,1
3410,1
1368,1
3442,1
3451,1
1406,1
3455,1
1425,1
3474,1
3475,1
1428,1
3473,1
3477,1
3481,1
1439,1
3488,1
3490,1
1446,1
1450,1
1452,1
3502,1
3524,1
3527,1
1482,1
1483,1
1491,1
3546,1
3550,1
1506,1
1517,1
1520,1
3570,1
3573,1
3576,1
3580,1
3586,1
3589,1
3593,1
1546,1
1548,1
3598,1
1551,1
1558,1
3622,1
3638,1
3656,1
1609,1
3658,1
1613,1
1615,1
3668,1
1621,1
3670,1
3678,1
3689,1
1644,1
3697,1
1657,1
1659,1
1661,1
1669,1
3722,1
1678,1
3726,1
3729,1
3733,1
3751,1
1703,1
3755,1
1719,1
3770,1
3773,1
1728,1
1746,1
3794,1
1750,1
1760,1
1769,1
1770,1
3818,1
1779,1
3834,1
3839,1
3863,1
1822,1
1834,1
3895,1
3897,1
1853,1
3904,1
1863,1
1869,1
3925,1
3926,1
1881,1
1888,1
3958,1
1913,1
3966,1
1919,1
3973,1
3974,1
3977,1
3983,1
3993,1
3994,1
3998,1
1950,1
4009,1
4010,1
4017,1
1971,1
1975,1
4025,1
4031,1
4037,1
4038,1
1998,1
4047,1
4046,1
4054,1
4056,1
4058,1
4066,1
2025,1
2026,1
2031,1
4080,1
2033,1
2047,1
1,2
3,2
2061,2
19,2
2073,2
26,2
28,2
2084,2
43,2
46,2
55,2
2106,2
2117,2
84,2
87,2
88,2
2136,2
93,2
2143,2
2145,2
100,2
103,2
104,2
115,2
2172,2
128,2
2177,2
134,2
2192,2
148,2
2196,2
2198,2
2203,2
2212,2
2216,2
171,2
2224,2
2229,2
2233,2
190,2
196,2
197,2
208,2
2261,2
2262,2
2263,2
220,2
222,2
2275,2
227,2
228,2
233,2
2288,2
242,2
247,2
250,2
2300,2
2307,2
262,2
2317,2
273,2
2322,2
2321,2
2329,2
2332,2
285,2
287,2
2344,2
2346,2
2350,2
306,2
2365,2
2383,2
337,2
2387,2
345,2
2396,2
348,2
350,2
351,2
2403,2
362,2
2418,2
372,2
2421,2
2429,2
2444,2
401,2
402,2
404,2
2453,2
2455,2
414,2
441,2
451,2
454,2
470,2
473,2
476,2
2526,2
484,2
486,2
494,2
499,2
2550,2
502,2
2552,2
2555,2
2563,2
2580,2
534,2
2588,2
551,2
2618,2
573,2
2626,2
2640,2
2658,2
615,2
616,2
625,2
631,2
2682,2
2684,2
637,2
2697,2
650,2
2699,2
652,2
2700,2
654,2
2708,2
660,2
2711,2
668,2
669,2
2723,2
678,2
2727,2
684,2
688,2
2744,2
700,2
2755,2
2761,2
715,2
2764,2
2765,2
718,2
2767,2
733,2
735,2
737,2
742,2
2791,2
745,2
746,2
750,2
2803,2
2817,2
2827,2
782,2
2835,2
2843,2
2849,2
2852,2
2856,2
817,2
2868,2
822,2
824,2
830,2
832,2
837,2
838,2
2892,2
2893,2
2899,2
856,2
865,2
2922,2
2926,2
879,2
2931,2
2937,2
2939,2
896,2
905,2
922,2
941,2
948,2
2998,2
955,2
3005,2
3011,2
3014,2
966,2
969,2
970,2
984,2
3033,2
999,2
1000,2
3051,2
1010,2
3059,2
1013,2
3073,2
1029,2
1031,2
3080,2
3082,2
3090,2
3091,2
1045,2
1049,2
3103,2
3105,2
3106,2
3107,2
3108,2
1060,2
3110,2
3111,2
3118,2
1074,2
1076,2
3133,2
3136,2
3138,2
3141,2
1096,2
1106,2
1107,2
1121,2
1134,2
1135,2
1142,2
3196,2
1149,2
3199,2
3203,2
3206,2
3212,2
3214,2
1169,2
3220,2
3224,2
1180,2
3230,2
1182,2
3237,2
1192,2
3241,2
3249,2
3250,2
3253,2
3260,2
3261,2
3263,2
3269,2
1222,2
1225,2
3275,2
3283,2
3288,2
1242,2
3293,2
1248,2
3301,2
3305,2
1262,2
3315,2
1268,2
3319,2
1273,2
3324,2
3325,2
1278,2
3335,2
1288,2
3338,2
1291,2
1292,2
3341,2
1295,2
1300,2
3358,2
1324,2
1336,2
1337,2
1339,2
1344,2
1345,2
3396,2
3405,2
1367,2
3416,2
3418,2
3420,2
1375,2
1377,2
3426,2
3428,2
3431,2
1386,2
1388,2
1389,2
1391,2
3443,2
3449,2
1405,2
1411,2
3467,2
1423,2
3476,2
1431,2
1434,2
3487,2
1440,2
1444,2
3495,2
3509,2
1462,2
3519,2
1473,2
3525,2
3533,2
1490,2
3540,2
3545,2
3549,2
3554,2
1507,2
3557,2
1509,2
3571,2
1542,2
1544,2
3609,2
1563,2
1568,2
1576,2
1584,2
1585,2
3633,2
3640,2
3645,2
1597,2
1602,2
3654,2
3667,2
1631,2
1634,2
1635,2
3688,2
1641,2
3696,2
1656,2
1658,2
3710,2
3728,2
1683,2
1684,2
3735,2
1692,2
3756,2
3758,2
3759,2
1711,2
3769,2
3774,2
3776,2
3778,2
3795,2
1753,2
1757,2
1767,2
3816,2
3823,2
3828,2
1788,2
3838,2
1792,2
3842,2
3849,2
1804,2
1806,2
3857,2
1821,2
3876,2
3878,2
3881,2
3885,2
1839,2
3889,2
1844,2
1857,2
1867,2
3916,2
3920,2
3922,2
3923,2
3930,2
3933,2
1886,2
1891,2
1895,2
1907,2
3964,2
3975,2
1929,2
1932,2
3984,2
3987,2
3992,2
4001,2
1959,2
4018,2
4020,2
1978,2
1981,2
1982,2
4040,2
2007,2
4055,2
4059,2
2015,2
4068,2
2045,2
2048,3
2050,3
13,3
2062,3
2066,3
23,3
25,3
29,3
2077,3
2078,3
2079,3
36,3
2086,3
47,3
2105,3
61,3
2115,3
2118,3
2121,3
81,3
2133,3
86,3
90,3
2141,3
99,3
2149,3
102,3
2153,3
2154,3
106,3
2158,3
114,3
2165,3
2166,3
120,3
133,3
136,3
2184,3
150,3
152,3
2204,3
2210,3
2219,3
175,3
2226,3
179,3
2243,3
195,3
200,3
204,3
2253,3
2265,3
2271,3
2274,3
235,3
2283,3
2289,3
2293,3
2297,3
2298,3
255,3
2308,3
261,3
271,3
2320,3
275,3
277,3
2326,3
2333,3
286,3
2338,3
297,3
2349,3
305,3
312,3
2363,3
315,3
342,3
361,3
370,3
2419,3
371,3
2424,3
382,3
2434,3
395,3
2447,3
403,3
405,3
2457,3
417,3
2467,3
2470,3
2471,3
425,3
2478,3
2479,3
440,3
455,3
468,3
2518,3
2522,3
2538,3
495,3
2549,3
505,3
517,3
518,3
2568,3
2569,3
2575,3
542,3
2601,3
557,3
558,3
575,3
576,3
592,3
595,3
2644,3
2668,3
621,3
626,3
2675,3
2676,3
2680,3
634,3
2685,3
646,3
655,3
2726,3
693,3
695,3
2743,3
697,3
705,3
2756,3
2760,3
713,3
724,3
2774,3
2786,3
2787,3
739,3
2798,3
752,3
756,3
757,3
761,3
766,3
2818,3
771,3
2821,3
2824,3
779,3
2828,3
2830,3
2838,3
2839,3
793,3
798,3
2854,3
808,3
821,3
2877,3
839,3
2897,3
2898,3
857,3
860,3
2913,3
866,3
868,3
869,3
874,3
890,3
2940,3
2956,3
910,3
918,3
2970,3
2971,3
2972,3
2980,3
2985,3
2986,3
939,3
949,3
950,3
974,3
3025,3
982,3
983,3
987,3
3035,3
992,3
995,3
1002,3
1003,3
3053,3
3064,3
3065,3
1021,3
1025,3
3081,3
1035,3
1042,3
3102,3
1054,3
1061,3
3113,3
3116,3
3121,3
1075,3
3123,3
1079,3
3134,3
1092,3
1095,3
3145,3
3147,3
1101,3
1109,3
1114,3
1115,3
1117,3
3167,3
1125,3
1129,3
3177,3
1136,3
1137,3
1139,3
3189,3
3191,3
1148,3
3207,3
1159,3
1168,3
1176,3
1179,3
3234,3
3238,3
1191,3
3242,3
3247,3
1211,3
1215,3
1217,3
3266,3
1220,3
3268,3
1224,3
3282,3
1237,3
3292,3
3296,3
1252,3
1254,3
1269,3
1271,3
3336,3
1296,3
3346,3
1302,3
3351,3
3353,3
1306,3
1305,3
3355,3
1314,3
3363,3
1321,3
3379,3
3381,3
1338,3
1343,3
3402,3
3403,3
3409,3
3412,3
1364,3
1370,3
1371,3
3425,3
1381,3
3437,3
1394,3
1397,3
1402,3
1410,3
1416,3
3466,3
3471,3
1435,3
1436,3
1437,3
1438,3
1448,3
3496,3
1458,3
3508,3
3510,3
3514,3
1476,3
1477,3
1480,3
1486,3
1487,3
3534,3
1497,3
3547,3
3551,3
3552,3
1510,3
1541,3
3599,3
1561,3
1567,3
3621,3
3623,3
1580,3
1589,3
3637,3
3639,3
1593,3
3648,3
1605,3
1611,3
1616,3
1627,3
1630,3
3679,3
1633,3
3684,3
3687,3
1640,3
1650,3
3698,3
3703,3
1655,3
1663,3
1668,3
3725,3
1686,3
3734,3
1697,3
1706,3
1708,3
1713,3
1726,3
1727,3
3779,3
3780,3
3790,3
1747,3
1755,3
1762,3
1765,3
3820,3
1780,3
1782,3
3836,3
1791,3
1793,3
1794,3
1797,3
3845,3
3848,3
1801,3
3859,3
1812,3
1817,3
1820,3
3868,3
3871,3
1847,3
3896,3
1848,3
3900,3
3902,3
3905,3
3910,3
3912,3
1872,3
1874,3
1879,3
1880,3
1883,3
1889,3
1892,3
3947,3
3955,3
1909,3
3959,3
1917,3
1918,3
3967,3
1921,3
1930,3
3979,3
1937,3
1938,3
1952,3
4002,3
1961,3
1963,3
1966,3
1968,3
1974,3
4023,3
1983,3
1986,3
4035,3
4036,3
1989,3
1991,3
2000,3
4048,3
2010,3
4060,3
4072,3
2028,3
4076,3
2036,3
2042,3
2043,3
2044,3
2054,4
7,4
17,4
2068,4
32,4
2089,4
2094,4
2095,4
2096,4
49,4
2099,4
2102,4
2110,4
66,4
2119,4
2120,4
2126,4
79,4
80,4
2129,4
2130,4
2134,4
2135,4
2160,4
2163,4
121,4
124,4
2178,4
2179,4
2180,4
131,4
2181,4
138,4
145,4
149,4
2197,4
153,4
2202,4
2206,4
2209,4
2213,4
2217,4
2220,4
2227,4
182,4
2232,4
187,4
189,4
198,4
2254,4
210,4
2259,4
211,4
213,4
219,4
225,4
2277,4
239,4
2290,4
2294,4
2310,4
263,4
264,4
265,4
2324,4
2335,4
289,4
2340,4
2352,4
2355,4
309,4
311,4
2360,4
2361,4
2364,4
318,4
320,4
323,4
324,4
2380,4
2384,4
2388,4
2392,4
2404,4
357,4
364,4
366,4
368,4
376,4
388,4
389,4
2438,4
412,4
415,4
2473,4
433,4
2483,4
2484,4
437,4
438,4
439,4
2497,4
452,4
457,4
464,4
2523,4
2537,4
2546,4
498,4
2554,4
510,4
512,4
516,4
529,4
2582,4
537,4
2587,4
2600,4
554,4
2604,4
2608,4
2609,4
2613,4
2617,4
570,4
2621,4
578,4
589,4
2642,4
596,4
628,4
2679,4
635,4
649,4
653,4
2707,4
663,4
665,4
2716,4
676,4
2725,4
2728,4
685,4
2737,4
698,4
2751,4
711,4
2771,4
725,4
732,4
2785,4
2792,4
2796,4
2800,4
2804,4
2810,4
767,4
774,4
2823,4
784,4
787,4
2842,4
795,4
794,4
811,4
813,4
828,4
833,4
844,4
2894,4
2900,4
2902,4
2904,4
2906,4
2911,4
2912,4
2915,4
878,4
2928,4
2936,4
891,4
2951,4
906,4
913,4
2965,4
2983,4
2984,4
938,4
961,4
3012,4
968,4
975,4
3030,4
3036,4
990,4
3042,4
3043,4
3047,4
3050,4
1005,4
3069,4
1033,4
3083,4
1039,4
1043,4
1044,4
3093,4
1046,4
3095,4
1051,4
1057,4
1062,4
1063,4
1070,4
1073,4
1078,4
1086,4
1089,4
1104,4
3155,4
3171,4
1123,4
1127,4
1133,4
3188,4
3192,4
1146,4
1178,4
1185,4
1186,4
3236,4
3244,4
3246,4
1201,4
1210,4
3258,4
1213,4
3264,4
1229,4
1230,4
3281,4
3287,4
1243,4
3291,4
1246,4
1255,4
3304,4
1260,4
3323,4
1277,4
1284,4
3348,4
1301,4
3350,4
1310,4
3359,4
1313,4
3362,4
3367,4
1328,4
3382,4
1335,4
3385,4
3388,4
3398,4
1355,4
1363,4
3415,4
3417,4
1374,4
3424,4
3432,4
1393,4
3447,4
3448,4
1399,4
1403,4
3456,4
1414,4
3462,4
3465,4
1421,4
1429,4
3485,4
3491,4
3492,4
1445,4
3500,4
1455,4
1460,4
3521,4
3522,4
1478,4
1488,4
3542,4
3567,4
1523,4
1528,4
3577,4
3578,4
3582,4
3585,4
1549,4
1555,4
3606,4
3610,4
3612,4
1571,4
3619,4
1574,4
1575,4
3627,4
3632,4
3634,4
3635,4
3649,4
1610,4
1614,4
1624,4
1628,4
1629,4
1636,4
1642,4
1648,4
3704,4
3708,4
1662,4
3712,4
1666,4
3720,4
3724,4
1677,4
1682,4
3732,4
3738,4
1691,4
1693,4
1695,4
3745,4
3754,4
1712,4
3763,4
1717,4
1725,4
3777,4
3789,4
3793,4
3796,4
3797,4
3801,4
3809,4
1764,4
3812,4
3815,4
1771,4
1784,4
1785,4
3835,4
3844,4
3847,4
1805,4
1813,4
1816,4
3870,4
1827,4
3887,4
1840,4
1845,4
3899,4
1859,4
1865,4
1870,4
1871,4
1877,4
1878,4
3931,4
3935,4
3940,4
1894,4
1898,4
1906,4
1910,4
1912,4
3963,4
3969,4
1922,4
3971,4
3981,4
1934,4
1942,4
1943,4
3990,4
3996,4
1949,4
4004,4
1958,4
1967,4
4026,4
4029,4
1987,4
1988,4
1994,4
4053,4
4057,4
2011,4
4063,4
4064,4
2017,4
2020,4
