node,community
9,0
10,0
11,0
13,0
14,0
15,0
17,0
46,0
101,0
103,0
113,0
127,0
130,0
131,0
132,0
141,0
180,0
185,0
187,0
212,0
223,0
228,0
229,0
230,0
251,0
256,0
267,0
303,0
305,0
306,0
312,0
325,0
329,0
347,0
362,0
364,0
365,0
379,0
401,0
403,0
411,0
444,0
449,0
464,0
484,0
496,0
546,0
567,0
585,0
591,0
597,0
599,0
606,0
621,0
632,0
637,0
644,0
673,0
684,0
688,0
727,0
731,0
738,0
746,0
760,0
766,0
779,0
788,0
789,0
790,0
793,0
795,0
802,0
805,0
807,0
810,0
822,0
902,0
930,0
932,0
950,0
962,0
971,0
979,0
987,0
995,0
997,0
998,0
999,0
1004,0
1006,0
1007,0
1009,0
1010,0
1015,0
1016,0
1018,0
1019,0
1020,0
1028,0
1035,0
1037,0
1054,0
1060,0
1091,0
1130,0
1136,0
1140,0
1141,0
1185,0
1197,0
1202,0
1206,0
1225,0
1226,0
1227,0
1239,0
1242,0
1244,0
1250,0
1275,0
1290,0
1300,0
1304,0
1305,0
1306,0
1307,0
1308,0
1310,0
1322,0
1324,0
1335,0
1336,0
1338,0
1340,0
1348,0
1367,0
1395,0
1398,0
1401,0
1402,0
1409,0
1429,0
1431,0
1432,0
1436,0
1445,0
1446,0
1448,0
1450,0
1451,0
1452,0
1453,0
1454,0
1457,0
1458,0
1459,0
1462,0
1463,0
1464,0
1465,0
1468,0
1472,0
1474,0
1475,0
1477,0
1478,0
1479,0
1480,0
1482,0
1484,0
1487,0
1488,0
1489,0
1490,0
1493,0
1496,0
1501,0
1508,0
1510,0
1516,0
1557,0
1558,0
1595,0
1596,0
1631,0
1633,0
1634,0
1636,0
1642,0
1647,0
1655,0
1658,0
1665,0
1667,0
1668,0
1669,0
1670,0
1672,0
1673,0
1675,0
1676,0
1681,0
1682,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1693,0
1695,0
1697,0
1698,0
1700,0
1701,0
1702,0
1704,0
1707,0
1708,0
1709,0
1711,0
1713,0
1717,0
1721,0
1722,0
1723,0
1725,0
1727,0
1729,0
1730,0
1731,0
1732,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1742,0
1743,0
1744,0
1745,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1754,0
1755,0
1756,0
1757,0
1758,0
1760,0
1761,0
1762,0
1763,0
1764,0
1766,0
1767,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1798,0
1799,0
1803,0
1804,0
1805,0
1807,0
1812,0
1813,0
1816,0
1819,0
1820,0
1821,0
1822,0
1824,0
1825,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1844,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1853,0
1854,0
1856,0
1857,0
1859,0
1860,0
1861,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1878,0
1879,0
1880,0
1882,0
1883,0
1884,0
1888,0
1891,0
1892,0
1893,0
1894,0
1895,0
1898,0
1899,0
1900,0
1901,0
1902,0
1907,0
1909,0
1910,0
1912,0
1918,0
1919,0
1920,0
1921,0
1922,0
1925,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1934,0
1935,0
1936,0
1938,0
1939,0
1940,0
1941,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1952,0
1953,0
1954,0
1955,0
1957,0
1958,0
1959,0
1960,0
1961,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2025,0
2026,0
2028,0
2030,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2043,0
2045,0
2046,0
2048,0
2051,0
2052,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2062,0
2064,0
2066,0
2067,0
2069,0
2070,0
2071,0
2072,0
2074,0
2076,0
2077,0
2078,0
2079,0
2082,0
2083,0
2084,0
2085,0
2088,0
2094,0
2097,0
2101,0
2128,0
2135,0
2138,0
2139,0
2142,0
2143,0
2149,0
2151,0
2155,0
2157,0
2159,0
2166,0
2170,0
2172,0
2188,0
2190,0
2191,0
2203,0
2204,0
2206,0
2215,0
2226,0
2230,0
2236,0
2242,0
2256,0
2269,0
2274,0
2278,0
2280,0
2282,0
2283,0
2287,0
2296,0
2299,0
2301,0
2303,0
2305,0
2308,0
2309,0
2314,0
2315,0
2329,0
2336,0
2337,0
2356,0
2361,0
2366,0
2370,0
2371,0
2373,0
2376,0
2377,0
2378,0
2382,0
2384,0
2390,0
2398,0
